precinct,ward,HVAP_pct,WVAP_pct,BVAP_pct,GARCIA_G15_pct,EMAN_G15_pct,normalized_log_area,WARD,PRECINCT,normalized_centroid_x,normalized_centroid_y,uninsured_pct,female_pct,veteran_pct
19.0,38.0,0.117399941,0.781716729,0.049574711,0.462585034,0.445578231,0.616149555,38.0,19.0,0.285693987,0.820785418,0.077864049,0.519846605,0.054560324
7.0,9.0,0.199029128,0.01092233,0.773058251,0.36809816,0.435582822,0.47965349,9.0,7.0,0.755072416,0.080397942,0.161528647,0.504524026,0.042868437
31.0,49.0,0.132850245,0.438405825,0.36956518,0.196610169,0.474576271,0.353394119,49.0,31.0,0.615067941,1.0,0.100742124,0.576683187,0.019668742
12.0,28.0,0.01594533,0.002277904,0.972665148,0.412280702,0.442982456,0.409016513,28.0,12.0,0.400225813,0.616974562,0.225438066,0.555017846,0.044509555
7.0,17.0,0.556067588,0.043010752,0.390937021,0.413333333,0.466666667,0.432517867,17.0,7.0,0.54926826,0.340987716,0.278466671,0.47749587,0.021400793
20.0,38.0,0.108699368,0.848204268,0.004897314,0.508474576,0.415254237,0.762795481,38.0,20.0,0.15607747,0.800461681,0.048791663,0.503480317,0.031229142
6.0,17.0,0.201263538,0.037906139,0.744584837,0.597633136,0.307692308,0.426012252,17.0,6.0,0.562813403,0.337070667,0.214116661,0.461668051,0.107776633
36.0,37.0,0.043113772,0.008383234,0.929341317,0.361344538,0.537815126,0.404822112,37.0,36.0,0.398114924,0.661228792,0.085948465,0.685570619,0.01886879
42.0,6.0,0.008474576,0.002118644,0.978813559,0.371794872,0.333333333,0.395636627,6.0,42.0,0.781920186,0.268501602,0.152716948,0.629295592,0.051655778
25.0,7.0,0.242355605,0.048697621,0.693091735,0.373271889,0.419354839,0.474579978,7.0,25.0,0.930712211,0.259609199,0.150553556,0.549057057,0.024996435
12.0,5.0,0.020779221,0.020779221,0.944155845,0.748663102,0.20855615,0.593031004,5.0,12.0,0.817726433,0.292661406,0.187723761,0.524524707,0.020143442
18.0,8.0,0.012059369,0.0,0.978664193,0.530232558,0.265116279,0.376970787,8.0,18.0,0.801654049,0.263334893,0.174192461,0.557401839,0.056741714
20.0,49.0,0.282248524,0.424852068,0.214201184,0.202380952,0.511904762,0.403398257,49.0,20.0,0.613671232,0.967118543,0.198072464,0.482837905,0.036552543
23.0,28.0,0.020579981,0.004677269,0.960710945,0.330985915,0.48943662,0.61462119,28.0,23.0,0.447570305,0.638804276,0.159926471,0.505514706,0.018382353
14.0,40.0,0.170637475,0.526078566,0.041854477,0.483108108,0.415540541,0.409613533,40.0,14.0,0.545988716,0.878581223,0.105078679,0.520215548,0.037687914
31.0,14.0,0.843317972,0.095622119,0.010368663,0.659919028,0.24291498,0.387819969,14.0,31.0,0.532089437,0.431121767,0.250205063,0.466464892,0.076425601
16.0,10.0,0.465465755,0.450580376,0.062699725,0.2406639,0.348547718,0.794827593,10.0,16.0,0.900079191,0.004886624,0.328253784,0.442396166,0.051847036
19.0,20.0,0.005896227,0.009433963,0.965801888,0.586206897,0.317241379,0.404024383,20.0,19.0,0.766432586,0.358220518,0.111255168,0.620954424,0.059447132
32.0,37.0,0.061250002,0.005,0.926249998,0.467924528,0.445283019,0.367135014,37.0,32.0,0.368147264,0.68999261,0.174860703,0.578625184,0.096257423
33.0,6.0,0.004592423,0.009184845,0.964408726,0.352941176,0.404411765,0.423263926,6.0,33.0,0.764794216,0.296057033,0.070290692,0.538512918,0.082601302
22.0,22.0,0.939309579,0.018930958,0.028396435,0.448087432,0.398907104,0.444943908,22.0,22.0,0.511458725,0.53459627,0.353532965,0.477666717,0.0
10.0,6.0,0.010566763,0.006724303,0.970220942,0.167741935,0.419354839,0.515290747,6.0,10.0,0.710608821,0.29992241,0.162628841,0.57933651,0.035508223
28.0,41.0,0.09594096,0.649446497,0.066420663,0.36,0.524444444,0.594619588,41.0,28.0,0.161967181,0.891791202,0.164381364,0.469139592,0.033736836
5.0,14.0,0.877664108,0.047314578,0.06905371,0.174863388,0.398907104,0.497038434,14.0,5.0,0.537476536,0.37476745,0.239375181,0.490292511,0.025987136
4.0,49.0,0.371428564,0.370889491,0.167115911,0.179775281,0.449438202,0.415717225,49.0,4.0,0.611975946,0.946992651,0.223158895,0.473220368,0.030815424
6.0,48.0,0.168085059,0.464539067,0.222694995,0.21031746,0.468253968,0.341479767,48.0,6.0,0.646725779,0.889402781,0.186519504,0.419495387,0.074229285
11.0,22.0,0.973105136,0.019559901,0.004889975,0.323809524,0.523809524,0.419818431,22.0,11.0,0.506740033,0.506475636,0.245525727,0.492374728,0.007625272
30.0,31.0,0.784008313,0.163032187,0.014537903,0.205555556,0.677777778,0.444551263,31.0,30.0,0.42035817,0.761922696,0.235883905,0.530295184,0.022786121
16.0,46.0,0.19165247,0.613287904,0.109028961,0.145833333,0.506944444,0.386441774,46.0,16.0,0.625777945,0.850815565,0.09573855,0.474937904,0.067795872
14.0,4.0,0.014834209,0.066317633,0.739092484,0.290909091,0.572727273,0.505178278,4.0,14.0,0.749645611,0.516463967,0.092110548,0.561007149,0.046622284
32.0,16.0,0.772159799,0.055555556,0.162921349,0.588888889,0.311111111,0.455109653,16.0,32.0,0.546826888,0.363176559,0.247204642,0.476800457,0.032393016
9.0,11.0,0.246099292,0.321276594,0.012765958,0.17721519,0.455696203,0.434630515,11.0,9.0,0.646694906,0.509504931,0.15203737,0.470199947,0.00474077
5.0,28.0,0.047381571,0.142144632,0.805486266,0.30449827,0.508650519,0.620530952,28.0,5.0,0.620352209,0.572470741,0.005515214,0.629686906,0.046327798
16.0,7.0,0.006944444,0.017361111,0.953993056,0.239382239,0.335907336,0.40876447,7.0,16.0,0.900700699,0.278445406,0.124777221,0.558329398,0.051330779
36.0,27.0,0.094364361,0.235910892,0.61992134,0.375,0.45703125,0.614155709,27.0,36.0,0.556782288,0.638357362,0.113329554,0.505187324,0.022594755
44.0,29.0,0.027450797,0.021565675,0.938240055,0.482638889,0.444444444,0.429624754,29.0,44.0,0.347993467,0.651033593,0.122851233,0.575086806,0.020475912
15.0,3.0,0.017017017,0.016016018,0.946946946,0.366336634,0.49009901,0.43403171,3.0,15.0,0.742717109,0.443866142,0.087971315,0.564279853,0.076254293
15.0,29.0,0.101072262,0.028281965,0.863366925,0.289308176,0.534591195,0.547764886,29.0,15.0,0.327840749,0.709133917,0.111530177,0.506938933,0.089080763
28.0,48.0,0.076330973,0.547787065,0.178319435,0.236111111,0.458333333,0.249857653,48.0,28.0,0.651879419,0.881350729,0.052904189,0.602761259,0.046639404
43.0,28.0,0.010676157,0.002669039,0.975088968,0.384020619,0.432989691,0.483018878,28.0,43.0,0.398545821,0.629981704,0.195537011,0.620239706,0.053770989
4.0,33.0,0.550098226,0.349705312,0.020301244,0.189781022,0.718978102,0.52692253,33.0,4.0,0.527830474,0.788040222,0.15827146,0.507182728,0.016335412
26.0,24.0,0.030494214,0.008412196,0.945320719,0.122905028,0.48603352,0.495752283,24.0,26.0,0.499079045,0.587115404,0.107459316,0.645079663,0.013788038
10.0,20.0,0.004454343,0.0,0.9844098,0.435185185,0.490740741,0.483964109,20.0,10.0,0.768607736,0.333877687,0.062826786,0.550249153,0.049002819
35.0,20.0,0.004459309,0.006688963,0.981047938,0.392857143,0.446428571,0.598752962,20.0,35.0,0.747040904,0.341959277,0.130021321,0.685741136,0.038950456
20.0,46.0,0.096052637,0.493421055,0.331578933,0.199233716,0.398467433,0.437791999,46.0,20.0,0.646258984,0.843465173,0.138303255,0.41139231,0.031476472
48.0,6.0,0.009102731,0.00260078,0.972691808,0.210280374,0.420560748,0.429484217,6.0,48.0,0.763687894,0.307654027,0.10310419,0.509973551,0.065347267
29.0,31.0,0.792473119,0.141935483,0.038709677,0.137704918,0.796721311,0.431412924,31.0,29.0,0.41826666,0.744577337,0.213200629,0.460052219,0.007832898
3.0,48.0,0.149415696,0.510851415,0.227045074,0.30976431,0.417508418,0.323293976,48.0,3.0,0.645246005,0.895118451,0.139635032,0.45706104,0.046860116
18.0,49.0,0.13729653,0.594479833,0.19957537,0.208333333,0.402777778,0.390799391,49.0,18.0,0.620291197,0.951121968,0.180136654,0.500493163,0.019869335
16.0,20.0,0.033586132,0.201516795,0.663055252,0.492753623,0.415458937,0.44937724,20.0,16.0,0.793789176,0.358557055,0.145342886,0.576185671,0.036326942
6.0,12.0,0.643139841,0.155672824,0.028364116,0.641304348,0.244565217,0.533584967,12.0,6.0,0.570160736,0.476821513,0.194378905,0.473028764,0.008824623
19.0,4.0,0.014005602,0.0,0.960784314,0.65942029,0.307971014,0.2411104,4.0,19.0,0.761468516,0.483479164,0.107044831,0.751143641,0.054894785
